Identification of Establishment,Region,Total Annual Sales in Fiscal Year,Permanent Full-time Workers,Total Annual Cost of Labor,Total Annual Cost of Electricity,Number of Highly Skilled Jobs Worker,Top Manager's Experience in Sector,log of Firm Performance per Worker,log of Labor Cost per Worker,log of Electricity Cost per Worker,log of Number of High Skilled Workers,log of Experience of Top Manager,log of Firm Age,"Owners of the firm females (Yes=1, No=0)","Top Manager Female (Yes=1, No=0)","Have an internationally recognized quality certification? (Yes=1, No=0)","Establishment experience power outages (Yes=1, No=0)","Does this establishment have its own website or social media page? (Yes=1, No=0)","Inspected by tax officials (Yes=1, No=0)","Has current or savings account (Yes=1, No=0)","Have an over-draft facility (Yes=1, No=0)","Have a line of credit (Yes=1, No=0)","Inadequately educated workforce (Yes=1, No=0)","Business licensing and permits (Yes=1, No=0)","Corruption (Yes=1, No=0)","Access to land (Yes=1, No=0)","Political instability (Yes=1, No=0)","Access to finance (Yes=1, No=0)","Electricity (Yes=1, No=0)","Practices of competitors in the informal sector  (Yes=1, No=0)","Tax administration  (Yes=1, No=0)","Labor regulations  (Yes=1, No=0)","Tax rates  (Yes=1, No=0)","Customs and trade regulations  (Yes=1, No=0)","Transport (Yes=1, No=0)","Courts (Yes=1, No=0)","Crime, theft and disorder (Yes=1, No=0)"
862417,Khulna,1200000000,150,17600000,18000000,80,40,15.8949521,11.67277422,11.69524708,4.394449155,3.713572067,1.945910149,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862418,Khulna,620000000,112,100000000,15000000,50,55,15.52673117,13.70218188,11.80506195,3.931825633,4.025351691,2.995732274,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
862419,Khulna,960000000,125,18000000,10000000,75,35,15.85413011,11.87756863,11.28978201,4.33073334,3.583518938,3.258096538,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862421,Khulna,600000000,110,18800000,360000,5,11,15.51195985,12.04888712,8.093381722,1.791759469,2.48490665,2.564949357,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
862423,Khulna,85000000,24,2400000,1600000,19,36,15.080108,11.51292588,11.10746098,2.995732274,3.610917913,3.761200116,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
862424,Rajshahi,200000000,15,1900000,125000,2,33,16.40577773,11.74931477,9.028026815,1.098612289,3.526360525,2.63905733,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
862425,Sylhet,17000000,6,600000,180000,0,14,14.85696449,11.51292713,10.30895822,0,2.708050201,2.772588722,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
862427,Rajshahi,7500000,20,2500000,120000,15,20,12.83468144,11.73606942,8.699523082,2.772588722,3.044522438,3.135494216,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
862428,Dhaka MA,9000000,31,3410000,75000,15,20,12.57874804,11.60823594,7.791269521,2.772588722,3.044522438,2.397895273,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862430,Dhaka MA,26000000,30,3000000,240000,15,10,13.67240975,11.5129258,8.987200987,2.772588722,2.397895273,3.135494216,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
